                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 1.1305,                0.56685,                 1.0788,                 1.3442,                0.56077,                 1.0567,                0.83593,                0.77219,                0.84058,                0.40685,                 1.8657,                0.96238,                 1.7658,                 2.0108,                 1.0353,                 1.6484,             0.00026408,             0.00026408,             0.00026408
                     80,                   1.13,                0.56154,                 1.0701,                 1.3635,                 0.5734,                 1.0439,                0.83966,                0.78876,                0.84193,                0.41239,                 1.8252,                0.97003,                 1.7412,                  1.944,                 1.0356,                 1.6197,             0.00025309,             0.00025309,             0.00025309
                     81,                 1.1022,                0.55155,                 1.0586,                 1.3261,                0.56519,                 1.0436,                0.86201,                 0.7816,                0.84359,                0.41486,                 1.8269,                0.97558,                 1.7369,                 1.9452,                 1.0265,                 1.6187,             0.00024209,             0.00024209,             0.00024209
                     82,                 1.0911,                0.54249,                 1.0555,                 1.2965,                0.54297,                 1.0382,                0.83197,                0.80515,                0.84297,                0.42063,                 1.8318,                0.96318,                 1.7556,                 1.9451,                 1.0199,                 1.6284,             0.00023109,             0.00023109,             0.00023109
                     83,                 1.0825,                  0.567,                 1.0515,                 1.3008,                0.55412,                 1.0332,                0.81022,                0.82733,                0.84811,                0.42377,                 1.8309,                0.94485,                 1.7784,                 1.9605,                 1.0304,                 1.6511,             0.00022009,             0.00022009,             0.00022009
                     84,                 1.0978,                0.54471,                 1.0578,                 1.3016,                0.54291,                 1.0367,                0.84884,                0.78921,                0.84239,                0.42436,                 1.8255,                  1.005,                 1.7496,                 1.9469,                  1.127,                 1.6446,             0.00020909,             0.00020909,             0.00020909
                     85,                 1.1029,                0.54816,                 1.0526,                 1.3315,                0.55013,                 1.0312,                0.86649,                0.82506,                0.85606,                0.42855,                 1.8278,                0.96938,                 1.7611,                 1.9334,                 1.1013,                 1.6389,             0.00019809,             0.00019809,             0.00019809
                     86,                 1.0786,                 0.5275,                 1.0428,                 1.3011,                0.53294,                 1.0241,                0.85031,                0.83438,                0.85266,                0.41401,                 1.8306,                0.92968,                  1.787,                 1.9526,                 1.0765,                 1.6551,             0.00018709,             0.00018709,             0.00018709
                     87,                 1.0543,                 0.5295,                 1.0322,                 1.2824,                0.53322,                 1.0189,                0.86024,                0.82056,                0.85712,                0.42476,                 1.8359,                0.97088,                 1.7682,                 1.9612,                  1.088,                 1.6503,             0.00017609,             0.00017609,             0.00017609
                     88,                  1.067,                0.51953,                 1.0375,                  1.279,                0.50792,                 1.0208,                0.85941,                 0.8087,                0.85679,                0.42572,                 1.8422,                0.96447,                 1.7572,                 1.9372,                 1.1167,                 1.6258,             0.00016509,             0.00016509,             0.00016509
                     89,                 1.0567,                 0.5109,                 1.0322,                 1.2733,                0.49553,                 1.0202,                0.84345,                0.82909,                0.86023,                0.43367,                 1.8247,                0.97727,                  1.762,                 1.9454,                  1.056,                 1.6259,              0.0001541,              0.0001541,              0.0001541
                     90,                 1.0321,                0.51176,                 1.0279,                  1.258,                0.51459,                 1.0124,                0.86529,                0.81008,                0.85561,                0.43073,                 1.8182,                0.96512,                 1.7749,                 1.9436,                 1.0623,                 1.6388,              0.0001431,              0.0001431,              0.0001431
                     91,                 1.0415,                0.49246,                  1.061,                 1.2061,                0.44545,                  1.046,                0.88669,                0.78156,                0.85784,                0.42798,                 1.8414,                0.97203,                 1.7935,                 1.9663,                 1.0674,                 1.6475,              0.0001321,              0.0001321,              0.0001321
                     92,                0.99712,                0.46664,                 1.0401,                 1.1598,                0.40298,                 1.0269,                0.86968,                0.80026,                0.85312,                 0.4246,                 1.8347,                0.97516,                  1.753,                 1.9542,                 1.0889,                 1.6255,              0.0001211,              0.0001211,              0.0001211
                     93,                0.99863,                0.46971,                 1.0324,                 1.1577,                0.41855,                  1.017,                 0.8923,                0.78494,                0.84996,                0.41812,                 1.8579,                0.99049,                 1.8034,                 1.9782,                 1.1009,                 1.6607,              0.0001101,              0.0001101,              0.0001101
                     94,                0.96767,                0.45378,                 1.0285,                 1.1318,                0.38825,                 1.0138,                0.86673,                 0.8292,                0.86159,                0.42691,                 1.8498,                0.95128,                 1.8102,                 1.9521,                 1.0719,                  1.662,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                 0.9756,                0.46531,                 1.0271,                 1.1508,                0.40438,                 1.0174,                0.84779,                0.83509,                0.85979,                0.42199,                  1.839,                0.96254,                 1.8127,                 1.9484,                 1.0807,                 1.6678,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.98168,                0.45742,                 1.0208,                  1.151,                0.40543,                  1.008,                0.87616,                 0.7853,                0.85236,                0.42365,                 1.8273,                 1.0026,                 1.7829,                 1.9389,                 1.1161,                 1.6539,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.94163,                0.44267,                 1.0099,                 1.1232,                0.38497,                 1.0008,                0.86596,                0.82349,                 0.8513,                0.42268,                 1.8565,                 0.9957,                 1.8013,                 1.9663,                 1.1148,                 1.6569,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.93953,                0.44095,                 1.0044,                 1.1124,                0.38627,                  0.993,                0.86237,                0.79366,                0.84897,                0.42434,                 1.8461,                0.99733,                 1.8139,                 1.9659,                 1.1087,                 1.6706,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.93744,                0.44499,                0.99894,                 1.1118,                0.38655,                0.99257,                0.85969,                0.82062,                0.85455,                 0.4254,                 1.8564,                0.98308,                 1.8333,                 1.9673,                 1.0969,                 1.6763,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.94576,                0.44312,                 1.0172,                 1.1114,                0.38606,                 1.0074,                0.88158,                0.81308,                0.85962,                0.42378,                 1.8469,                0.98783,                 1.8197,                 1.9572,                 1.0946,                 1.6661,             3.3108e-05,             3.3108e-05,             3.3108e-05
